Component_ID,Lot_ID,Parameter,Value_0h,Value_24h,Value_96h,Value_168h,Datasheet_Limit,Ground_Truth_Label
C1123,LOT_D,Leakage_Current_uA,10.02,10.35,12.84,14.74,50.0,NORMAL
C1124,LOT_D,Leakage_Current_uA,12.43,13.72,14.05,16.91,50.0,NORMAL
C1125,LOT_D,Leakage_Current_uA,41.68,42.33,45.45,46.88,50.0,PEER_ANOMALY
C1126,LOT_D,Leakage_Current_uA,11.76,12.67,12.48,13.26,50.0,NORMAL
C1127,LOT_D,Leakage_Current_uA,10.04,11.15,13.33,15.99,50.0,NORMAL
C1128,LOT_D,Leakage_Current_uA,11.5,12.76,16.47,18.26,50.0,NORMAL
C1129,LOT_D,Leakage_Current_uA,11.36,11.46,11.54,14.01,50.0,NORMAL
C1130,LOT_D,Leakage_Current_uA,40.9,41.36,43.43,45.78,50.0,PEER_ANOMALY
C1131,LOT_D,Leakage_Current_uA,11.38,10.97,14.76,15.91,50.0,NORMAL
C1132,LOT_D,Leakage_Current_uA,10.55,10.9,12.6,13.23,50.0,NORMAL
C1133,LOT_D,Leakage_Current_uA,10.84,11.25,11.03,12.0,50.0,NORMAL
C1134,LOT_D,Leakage_Current_uA,11.54,12.59,15.88,18.56,50.0,NORMAL
C1135,LOT_D,Leakage_Current_uA,9.74,10.96,13.72,17.77,50.0,NORMAL
C1136,LOT_D,Leakage_Current_uA,8.65,9.82,13.29,16.74,50.0,NORMAL
C1137,LOT_D,Leakage_Current_uA,11.86,12.05,15.69,19.37,50.0,NORMAL
C1138,LOT_D,Leakage_Current_uA,10.69,11.73,14.11,17.03,50.0,NORMAL
C1139,LOT_D,Leakage_Current_uA,9.0,9.1,11.85,12.6,50.0,NORMAL
C1140,LOT_D,Leakage_Current_uA,13.77,14.48,18.67,21.45,50.0,NORMAL
C1141,LOT_D,Leakage_Current_uA,10.81,12.19,13.71,16.48,50.0,NORMAL
C1142,LOT_D,Leakage_Current_uA,12.75,13.76,15.1,17.67,50.0,NORMAL
C1143,LOT_D,Leakage_Current_uA,11.81,12.25,14.91,17.42,50.0,NORMAL
C1144,LOT_D,Leakage_Current_uA,11.39,12.34,14.74,16.99,50.0,NORMAL
C1145,LOT_D,Leakage_Current_uA,11.94,12.96,15.33,19.54,50.0,NORMAL
C1146,LOT_D,Leakage_Current_uA,10.91,11.15,14.57,16.38,50.0,NORMAL
C1147,LOT_D,Leakage_Current_uA,41.07,42.19,43.51,46.82,50.0,PEER_ANOMALY
C1148,LOT_D,Leakage_Current_uA,10.92,11.25,13.06,14.95,50.0,NORMAL
C1149,LOT_D,Leakage_Current_uA,12.37,13.01,14.99,16.33,50.0,NORMAL
C1150,LOT_D,Leakage_Current_uA,10.76,12.43,15.94,18.41,50.0,NORMAL
C1151,LOT_D,Leakage_Current_uA,13.37,14.27,16.85,20.04,50.0,NORMAL
C1152,LOT_D,Leakage_Current_uA,10.17,10.61,11.98,13.7,50.0,NORMAL
C1153,LOT_D,Leakage_Current_uA,10.62,11.35,12.52,15.22,50.0,NORMAL
C1154,LOT_D,Leakage_Current_uA,11.82,21.6,37.56,59.96,50.0,DRIFT_DEFECT
C1155,LOT_D,Leakage_Current_uA,10.41,12.18,15.99,17.96,50.0,NORMAL
C1156,LOT_D,Leakage_Current_uA,10.75,11.48,12.24,13.66,50.0,NORMAL
C1157,LOT_D,Leakage_Current_uA,10.46,20.0,39.88,62.41,50.0,DRIFT_DEFECT
C1158,LOT_D,Leakage_Current_uA,12.34,12.96,16.14,18.51,50.0,NORMAL
C1159,LOT_D,Leakage_Current_uA,10.9,10.95,13.72,16.65,50.0,NORMAL
C1160,LOT_D,Leakage_Current_uA,37.59,38.34,40.18,42.15,50.0,PEER_ANOMALY
C1161,LOT_E,Leakage_Current_uA,11.77,12.25,14.63,14.94,50.0,NORMAL
C1162,LOT_E,Leakage_Current_uA,38.97,40.02,43.34,45.73,50.0,PEER_ANOMALY
C1163,LOT_E,Leakage_Current_uA,10.39,11.81,12.49,14.01,50.0,NORMAL
C1164,LOT_E,Leakage_Current_uA,10.53,11.69,14.67,17.66,50.0,NORMAL
C1165,LOT_E,Leakage_Current_uA,9.5,10.13,11.4,13.68,50.0,NORMAL
C1166,LOT_E,Leakage_Current_uA,9.7,10.59,11.1,10.68,50.0,NORMAL
C1167,LOT_E,Leakage_Current_uA,8.25,16.79,34.57,58.05,50.0,DRIFT_DEFECT
C1168,LOT_E,Leakage_Current_uA,10.45,11.69,14.36,17.85,50.0,NORMAL
C1169,LOT_E,Leakage_Current_uA,8.17,14.58,37.67,57.05,50.0,DRIFT_DEFECT
C1170,LOT_E,Leakage_Current_uA,10.8,10.59,11.11,13.41,50.0,NORMAL
C1171,LOT_E,Leakage_Current_uA,9.09,10.25,12.9,14.85,50.0,NORMAL
C1172,LOT_E,Leakage_Current_uA,9.09,10.54,10.49,12.52,50.0,NORMAL
C1173,LOT_E,Leakage_Current_uA,8.61,9.28,10.44,11.5,50.0,NORMAL
C1174,LOT_E,Leakage_Current_uA,10.35,10.95,12.31,15.68,50.0,NORMAL
C1175,LOT_E,Leakage_Current_uA,9.63,10.85,13.66,16.98,50.0,NORMAL
C1176,LOT_E,Leakage_Current_uA,8.37,10.16,12.9,15.84,50.0,NORMAL
C1177,LOT_E,Leakage_Current_uA,10.03,11.24,14.18,17.2,50.0,NORMAL
C1178,LOT_E,Leakage_Current_uA,9.88,11.24,13.38,16.89,50.0,NORMAL
C1179,LOT_E,Leakage_Current_uA,8.97,10.3,10.33,11.99,50.0,NORMAL
C1180,LOT_E,Leakage_Current_uA,10.55,10.76,12.57,14.31,50.0,NORMAL
C1181,LOT_E,Leakage_Current_uA,9.2,8.81,12.98,14.37,50.0,NORMAL
C1182,LOT_E,Leakage_Current_uA,40.68,40.71,42.73,44.3,50.0,PEER_ANOMALY
C1183,LOT_E,Leakage_Current_uA,8.46,9.27,12.13,14.97,50.0,NORMAL
C1184,LOT_E,Leakage_Current_uA,7.54,7.62,9.71,12.48,50.0,NORMAL
C1185,LOT_E,Leakage_Current_uA,10.34,11.48,12.53,13.4,50.0,NORMAL
C1186,LOT_E,Leakage_Current_uA,9.0,10.52,13.62,17.06,50.0,NORMAL
C1187,LOT_E,Leakage_Current_uA,9.11,10.87,13.61,17.85,50.0,NORMAL
C1188,LOT_E,Leakage_Current_uA,8.95,9.57,12.48,15.39,50.0,NORMAL
C1189,LOT_E,Leakage_Current_uA,10.12,17.46,33.57,60.01,50.0,DRIFT_DEFECT
C1190,LOT_E,Leakage_Current_uA,12.77,13.65,16.51,19.35,50.0,NORMAL
C1191,LOT_E,Leakage_Current_uA,9.15,9.52,10.1,10.2,50.0,NORMAL
C1192,LOT_E,Leakage_Current_uA,40.36,40.62,44.68,47.93,50.0,PEER_ANOMALY
C1193,LOT_E,Leakage_Current_uA,11.77,11.66,14.31,17.12,50.0,NORMAL
C1194,LOT_E,Leakage_Current_uA,9.86,11.39,13.6,15.93,50.0,NORMAL
C1195,LOT_E,Leakage_Current_uA,37.08,37.44,39.9,42.62,50.0,PEER_ANOMALY
C1196,LOT_E,Leakage_Current_uA,9.51,10.78,13.02,13.78,50.0,NORMAL
C1197,LOT_E,Leakage_Current_uA,10.07,10.51,11.37,14.06,50.0,NORMAL
C1198,LOT_E,Leakage_Current_uA,8.05,8.22,9.33,9.58,50.0,NORMAL
C1199,LOT_E,Leakage_Current_uA,9.4,10.5,12.07,13.18,50.0,NORMAL
C1200,LOT_E,Leakage_Current_uA,10.56,11.87,13.53,15.64,50.0,NORMAL
